f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31
0.11292195,0.029608846,-0.056578696,0.07753861,-0.18436998,-0.27557516,-0.12228191,0.13489449,-0.023812354,-0.9228637,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.09444034,0.100396395,0.06319451,0.083250165,0.032800436,-0.23740941,-0.02261889,-0.14283735,-0.16982806,-0.8436141,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.011676788,0.033419013,-0.030404806,-0.0068802834,-0.015773952,-0.059968174,-0.023623168,-0.023230016,0.017857075,-0.51345074,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
-0.104752004,-0.013473809,-0.07322925,-0.058184564,0.033447027,0.049951196,-0.0021492243,-0.06075567,0.051095605,-0.5297384,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
-0.082622826,0.019635916,-0.009157419,0.036974907,0.21600282,-0.060772836,0.07194698,-0.28912812,0.08808541,-0.40137416,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.08580303,0.08651841,0.014282107,0.047798276,-0.02289325,-0.16432536,0.002929449,0.026720881,-0.037947178,-0.751653,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.13309932,-0.005537629,0.0002465248,0.069208264,-0.19424987,-0.22815162,-0.061575353,0.080586195,0.026945472,-0.8455615,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
-0.0348379,0.10375595,0.009598732,-0.015817702,0.047849655,-0.018917084,-0.00050616264,0.042822003,-0.0170511,-0.7827461,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.1300472,0.06260216,0.045323372,0.14708483,-0.22003353,-0.34048814,-0.131872,-0.034030974,-0.08418512,-0.9111847,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.11929685,0.030470967,-0.08931947,-0.013895094,0.107457876,0.057559967,0.051941633,-0.016906142,0.11459732,-0.4735371,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
